candidate_id,name,country,macro_region,state_or_area,district_or_area,proposed_location_type,proposed_vibe_1,proposed_vibe_2,proposed_vibe_3,priority_tier,verification_status,notes
CAND-0198,Umiam Lake,India,North East India,Meghalaya,Ri Bhoi,lake_region,lakes,hills,weekend,tier_1,candidate,Shillong nearby lake candidate
CAND-0199,Dawki,India,North East India,Meghalaya,West Jaintia Hills,river_town,river,nature,border,tier_1,candidate,Meghalaya river candidate
CAND-0200,Mawlynnong,India,North East India,Meghalaya,East Khasi Hills,village,culture,nature,slow_travel,tier_1,candidate,Meghalaya village candidate
CAND-0201,Mawsynram,India,North East India,Meghalaya,East Khasi Hills,rainforest_region,rain,nature,caves,tier_1,candidate,Rainfall/cave candidate
CAND-0202,Laitlum,India,North East India,Meghalaya,East Khasi Hills,valley,hills,nature,viewpoint,tier_2,candidate,Shillong viewpoint candidate
CAND-0203,Jowai,India,North East India,Meghalaya,West Jaintia Hills,hill_town,culture,hills,nature,tier_2,candidate,Jaintia hills candidate
CAND-0204,Mawphlang,India,North East India,Meghalaya,East Khasi Hills,forest_region,forest,culture,nature,tier_2,candidate,Sacred forest candidate
CAND-0205,Bomdila,India,North East India,Arunachal Pradesh,West Kameng,mountain_town,mountains,monastery,culture,tier_2,candidate,Tawang route candidate
CAND-0206,Dirang,India,North East India,Arunachal Pradesh,West Kameng,mountain_town,mountains,culture,nature,tier_1,candidate,Tawang route candidate
CAND-0207,Mechuka,India,North East India,Arunachal Pradesh,Shi Yomi,valley,mountains,culture,slow_travel,tier_2,candidate,Remote valley candidate
CAND-0208,Pasighat,India,North East India,Arunachal Pradesh,East Siang,city_gateway,river,culture,nature,tier_2,candidate,Arunachal gateway candidate
CAND-0209,Itanagar,India,North East India,Arunachal Pradesh,Papum Pare,city_gateway,culture,gateway,hills,tier_2,candidate,State capital/gateway candidate
CAND-0210,Loktak Lake,India,North East India,Manipur,Bishnupur,lake_region,lakes,nature,culture,tier_1,candidate,Major lake candidate
CAND-0211,Ukhrul,India,North East India,Manipur,Ukhrul,hill_town,hills,culture,nature,tier_2,candidate,Manipur hill candidate
CAND-0212,Mokokchung,India,North East India,Nagaland,Mokokchung,hill_town,culture,hills,slow_travel,tier_2,candidate,Nagaland culture candidate
CAND-0213,Dzukou Valley,India,North East India,Nagaland/Manipur,Kohima/Senapati,valley,trekking,nature,flowers,tier_1,candidate,Trek candidate
CAND-0214,Phek,India,North East India,Nagaland,Phek,hill_region,culture,nature,slow_travel,tier_3,candidate,Nagaland candidate
CAND-0215,Champhai,India,North East India,Mizoram,Champhai,hill_town,hills,culture,border,tier_2,candidate,Mizoram candidate
CAND-0216,Lunglei,India,North East India,Mizoram,Lunglei,hill_town,hills,culture,slow_travel,tier_3,candidate,Mizoram candidate
CAND-0217,Reiek,India,North East India,Mizoram,Mamit,mountain_region,hills,nature,culture,tier_2,candidate,Aizawl nearby candidate
CAND-0218,Unakoti,India,North East India,Tripura,Unakoti,heritage_site,heritage,spiritual,rock_carving,tier_1,candidate,Tripura heritage candidate
CAND-0219,Neermahal,India,North East India,Tripura,Sepahijala,palace_site,palace,lakes,heritage,tier_1,candidate,Tripura lake palace candidate
CAND-0220,Ujjayanta Palace,India,North East India,Tripura,Agartala,palace_site,palace,heritage,culture,tier_2,candidate,Agartala heritage candidate
CAND-0221,Neil Island Expanded,India,Island India,Andaman and Nicobar,South Andaman,island_beach,beach,slow_travel,nature,tier_1,candidate,Andaman subdestination candidate
CAND-0222,Baratang,India,Island India,Andaman and Nicobar,North and Middle Andaman,island_region,nature,caves,mangrove,tier_2,candidate,Andaman nature candidate
CAND-0223,Ross Island,India,Island India,Andaman and Nicobar,South Andaman,heritage_site,history,islands,heritage,tier_2,candidate,Port Blair circuit candidate
CAND-0224,Diglipur,India,Island India,Andaman and Nicobar,North Andaman,island_region,beach,nature,remote,tier_2,candidate,North Andaman candidate
CAND-0225,Minicoy,India,Island India,Lakshadweep,Lakshadweep,island_region,islands,marine,beach,tier_2,candidate,Lakshadweep subdestination candidate
